Energy,D20,D80,D90
245MeV,373.540,367.015,365.749
240MeV,360.478,354.167,352.839
230MeV,335.310,329.334,328.054
220MeV,310.868,305.185,304.045
210MeV,287.573,282.122,280.924
200MeV,264.690,259.488,258.373
190MeV,242.420,237.435,236.347
180MeV,221.002,216.112,215.069
170MeV,200.364,195.722,194.733
160MeV,180.506,176.126,175.166
150MeV,161.283,157.209,156.303
140MeV,142.962,139.246,138.454
130MeV,125.586,122.191,121.456
120MeV,108.973,105.928,105.264
110MeV,93.587,90.765,90.142
100MeV,78.955,76.356,75.770
90MeV,65.729,63.438,62.919
80MeV,52.940,50.908,50.463
70MeV,41.916,40.068,39.649
