Energy,D20,D80,D90
245MeV,372.870,366.406,365.090
240MeV,360.018,353.670,352.377
230MeV,335.059,328.995,327.769
220MeV,310.640,304.912,303.738
210MeV,287.367,281.900,280.741
200MeV,264.297,259.036,257.788
190MeV,242.234,237.145,236.039
180MeV,221.018,216.073,215.011
170MeV,200.489,195.660,194.684
160MeV,180.474,175.957,175.007
150MeV,161.501,157.434,156.556
140MeV,143.427,139.635,138.834
130MeV,125.869,122.376,121.636
120MeV,109.415,106.307,105.627
110MeV,94.206,91.294,90.669
100MeV,79.663,76.985,76.414
90MeV,66.116,63.820,63.334
80MeV,53.520,51.513,51.113
70MeV,42.302,40.408,40.003
